Requirement ID,Phase,Requirement,Control IDs,Threat IDs,Planned verification,Expected evidence,Owner,Status,Evidence link / notes
CAS-005,PHASE-10_OPERATIONS_FINANCE_SUPPORT_CASES,"Attachments use restricted object storage, scanning, checksums, retention, and download audit.",IAM-04; IAM-05; OPS-03; APP-01,THR-007; THR-008; THR-024,"Case state-machine, assignment races, ETag, approval and audit tests",case-model-report,Operations owner,Planned,
CAS-006,PHASE-10_OPERATIONS_FINANCE_SUPPORT_CASES,Assignment and state transitions are optimistic-concurrency protected.,IAM-04; IAM-05; OPS-03; APP-01,THR-007; THR-008; THR-024,"Case state-machine, assignment races, ETag, approval and audit tests",case-model-report,Operations owner,Planned,
CAS-007,PHASE-10_OPERATIONS_FINANCE_SUPPORT_CASES,Resolution requires structured code and required evidence.,IAM-04; IAM-05; OPS-03; APP-01,THR-007; THR-008; THR-024,"Case state-machine, assignment races, ETag, approval and audit tests",case-model-report,Operations owner,Planned,
CUS-001,PHASE-02_CUSTOMER_KYC_PRIVACY,"Customer profile uses synthetic name, date-of-birth, address, and identifiers in all environments.",DAT-01; DAT-02; DAT-03; DAT-04; IAM-03,THR-009; THR-022; THR-026; THR-037; THR-045,"Profile/contact lifecycle, enumeration, masking, retention, and data-rights tests",privacy-inventory; lifecycle-tests; audit-evidence,Product/Privacy owner,Planned,
CUS-002,PHASE-02_CUSTOMER_KYC_PRIVACY,Email and phone are separate contact-point resources with verified status and change history.,DAT-01; DAT-02; DAT-03; DAT-04; IAM-03,THR-009; THR-022; THR-026; THR-037; THR-045,"Profile/contact lifecycle, enumeration, masking, retention, and data-rights tests",privacy-inventory; lifecycle-tests; audit-evidence,Product/Privacy owner,Planned,
CUS-003,PHASE-02_CUSTOMER_KYC_PRIVACY,Contact change requires step-up and delayed high-risk action policy.,DAT-01; DAT-02; DAT-03; DAT-04; IAM-03,THR-009; THR-022; THR-026; THR-037; THR-045,"Profile/contact lifecycle, enumeration, masking, retention, and data-rights tests",privacy-inventory; lifecycle-tests; audit-evidence,Product/Privacy owner,Planned,
CUS-004,PHASE-02_CUSTOMER_KYC_PRIVACY,Normalize for comparison while preserving original user-entered representation where necessary.,DAT-01; DAT-02; DAT-03; DAT-04; IAM-03,THR-009; THR-022; THR-026; THR-037; THR-045,"Profile/contact lifecycle, enumeration, masking, retention, and data-rights tests",privacy-inventory; lifecycle-tests; audit-evidence,Product/Privacy owner,Planned,
CUS-005,PHASE-02_CUSTOMER_KYC_PRIVACY,Prevent account enumeration and contact takeover through change/recovery flows.,DAT-01; DAT-02; DAT-03; DAT-04; IAM-03,THR-009; THR-022; THR-026; THR-037; THR-045,"Profile/contact lifecycle, enumeration, masking, retention, and data-rights tests",privacy-inventory; lifecycle-tests; audit-evidence,Product/Privacy owner,Planned,
CUS-030,PHASE-02_CUSTOMER_KYC_PRIVACY,"Restriction has type, scope, source, reason code, effective time, expiry, status, creator, and review path.",DAT-01; DAT-02; DAT-03; DAT-04; IAM-03,THR-009; THR-022; THR-026; THR-037; THR-045,"Profile/contact lifecycle, enumeration, masking, retention, and data-rights tests",privacy-inventory; lifecycle-tests; audit-evidence,Product/Privacy owner,Planned,
CUS-031,PHASE-02_CUSTOMER_KYC_PRIVACY,Multiple restrictions compose deterministically; removing one does not remove others.,DAT-01; DAT-02; DAT-03; DAT-04; IAM-03,THR-009; THR-022; THR-026; THR-037; THR-045,"Profile/contact lifecycle, enumeration, masking, retention, and data-rights tests",privacy-inventory; lifecycle-tests; audit-evidence,Product/Privacy owner,Planned,
CUS-032,PHASE-02_CUSTOMER_KYC_PRIVACY,"Restrictions are checked at command time, not inferred from UI.",DAT-01; DAT-02; DAT-03; DAT-04; IAM-03,THR-009; THR-022; THR-026; THR-037; THR-045,"Profile/contact lifecycle, enumeration, masking, retention, and data-rights tests",privacy-inventory; lifecycle-tests; audit-evidence,Product/Privacy owner,Planned,
CUS-033,PHASE-02_CUSTOMER_KYC_PRIVACY,Restriction changes are audited and may require approval.,DAT-01; DAT-02; DAT-03; DAT-04; IAM-03,THR-009; THR-022; THR-026; THR-037; THR-045,"Profile/contact lifecycle, enumeration, masking, retention, and data-rights tests",privacy-inventory; lifecycle-tests; audit-evidence,Product/Privacy owner,Planned,
DR-001,PHASE-12_RELIABILITY_DR_PERFORMANCE_SECURITY,Automated encrypted PostgreSQL backups and point-in-time logs.,REL-02; REL-03; FIN-07,THR-019; THR-020; THR-027,Isolated point-in-time restore and cross-store financial reconciliation,dr-report; integrity-manifest,Reliability owner,Planned,
DR-002,PHASE-12_RELIABILITY_DR_PERFORMANCE_SECURITY,Object storage versioning/immutability and inventory.,REL-02; REL-03; FIN-07,THR-019; THR-020; THR-027,Isolated point-in-time restore and cross-store financial reconciliation,dr-report; integrity-manifest,Reliability owner,Planned,
DR-003,PHASE-12_RELIABILITY_DR_PERFORMANCE_SECURITY,Infrastructure and configuration rebuild from source.,REL-02; REL-03; FIN-07,THR-019; THR-020; THR-027,Isolated point-in-time restore and cross-store financial reconciliation,dr-report; integrity-manifest,Reliability owner,Planned,
DR-004,PHASE-12_RELIABILITY_DR_PERFORMANCE_SECURITY,Restore into isolated environment at a chosen point in time.,REL-02; REL-03; FIN-07,THR-019; THR-020; THR-027,Isolated point-in-time restore and cross-store financial reconciliation,dr-report; integrity-manifest,Reliability owner,Planned,
DR-005,PHASE-12_RELIABILITY_DR_PERFORMANCE_SECURITY,"Reconcile journals, balances, holds, idempotency, inbox/outbox, objects, manifests, and reports after restore.",REL-02; REL-03; FIN-07,THR-019; THR-020; THR-027,Isolated point-in-time restore and cross-store financial reconciliation,dr-report; integrity-manifest,Reliability owner,Planned,
DR-006,PHASE-12_RELIABILITY_DR_PERFORMANCE_SECURITY,Document measured RPO/RTO in test conditions.,REL-02; REL-03; FIN-07,THR-019; THR-020; THR-027,Isolated point-in-time restore and cross-store financial reconciliation,dr-report; integrity-manifest,Reliability owner,Planned,
DR-007,PHASE-12_RELIABILITY_DR_PERFORMANCE_SECURITY,Run bad-migration recovery exercise.,REL-02; REL-03; FIN-07,THR-019; THR-020; THR-027,Isolated point-in-time restore and cross-store financial reconciliation,dr-report; integrity-manifest,Reliability owner,Planned,
DSR-001,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,User requests access/export under authentication and step-up.,DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
DSR-002,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,"Export job scopes data, excludes security-sensitive and third-party data, and records redactions.",DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
DSR-003,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,Package includes structured machine-readable data and plain-language index.,DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
DSR-004,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,Package is encrypted or delivered through short-lived authenticated channel.,DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
DSR-005,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,"Generation, download, expiry, and deletion are audited.",DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
DSR-010,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,Correctable current profile data changes without rewriting historical financial facts.,DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
DSR-011,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,"Closure checks balances, holds, pending transfers, disputes, cases, merchant obligations, and retention.",DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
DSR-012,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,"Sessions, API credentials, webhooks, and active beneficiaries are revoked/disabled.",DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
DSR-013,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,Removable personal data is deleted or pseudonymised by policy while ledger/audit linkage is preserved through non-public internal references.,DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
DSR-014,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,"Retention job has dry run, approval for high-impact deletion, immutable execution report, and restartability.",DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
DSR-015,PHASE-11_STATEMENTS_REPORTING_AUDIT_DATA_RIGHTS,Backups and derived stores have documented expiry or tombstone propagation strategy.,DAT-03; DAT-04; DAT-06; IAM-03,THR-026; THR-027; THR-050,Access/export/closure/retention/restartability/authorization tests,data-rights-exercise-report,Privacy owner,Planned,
EXT-001,PHASE-07_EXTERNAL_MONEY_MOVEMENT,"Beneficiary is a versioned resource with account destination, bank/provider routing metadata, verification status, display mask, owner, and activation time.",FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-002,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Creation and activation require step-up and risk evaluation.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-003,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Newly activated beneficiary may have cooldown/limits.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-004,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Sensitive destination fields are encrypted and masked.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-005,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Changes create a new version or re-verification; in-flight transfers retain the confirmed snapshot.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-010,PHASE-07_EXTERNAL_MONEY_MOVEMENT,"Validate wallet, amount, fee, beneficiary snapshot, risk, limits, step-up, and available funds.",FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-011,PHASE-07_EXTERNAL_MONEY_MOVEMENT,"Create transfer, reserve total debit, audit, and outbox atomically.",FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-012,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Return durable accepted state; do not block browser on provider call.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-013,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Provider request uses separate stable provider idempotency key and attempt reference.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-014,PHASE-07_EXTERNAL_MONEY_MOVEMENT,"Every attempt stores request checksum, scenario/provider, normalized result, raw evidence reference, timings, and correlation.",FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-020,PHASE-07_EXTERNAL_MONEY_MOVEMENT,"Timeout or transport failure is classified as pre-send, known reject, or unknown outcome when possible.",FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-021,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Unknown outcome never triggers blind provider failover.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-022,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Query provider by idempotency/reference before retry.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-023,PHASE-07_EXTERNAL_MONEY_MOVEMENT,"While ambiguous, customer funds remain reserved and status explains pending confirmation.",FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-024,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Watchdog escalates aged ambiguity to operations.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-025,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Manual resolution requires evidence and approval; it cannot directly edit financial state.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-030,PHASE-07_EXTERNAL_MONEY_MOVEMENT,"Authenticate exact raw body, timestamp, key ID, and event ID.",FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-031,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Persist callback receipt before or with processing state.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-032,PHASE-07_EXTERNAL_MONEY_MOVEMENT,"Match provider, external reference, destination, amount, and currency.",FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-033,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Apply only allowed state transitions; duplicate/stale/contradictory events are recorded.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-034,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Completion captures hold and posts journal exactly once.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-035,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Definitive failure releases hold exactly once.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-040,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Generate synthetic virtual account/reference or deposit instruction.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-041,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Provider simulator emits inbound credit event.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-042,PHASE-07_EXTERNAL_MONEY_MOVEMENT,"Validate unique provider transaction, amount, currency, destination reference, and payer metadata policy.",FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-043,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Credit customer liability against provider receivable/clearing.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-044,PHASE-07_EXTERNAL_MONEY_MOVEMENT,"Unknown or mismatched credits go to controlled suspense/review, never silently discarded.",FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-045,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Settlement later moves receivable to settlement-bank asset.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-050,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Quote fee before confirmation.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-051,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Fee policy version and breakdown are stored.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-052,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Fee revenue and provider expense are separate accounts.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
EXT-053,PHASE-07_EXTERNAL_MONEY_MOVEMENT,Refund/reversal treatment of fees is explicit.,FIN-04; FIN-05; FIN-06; APP-04; APP-05; REL-01,THR-004; THR-012; THR-015; THR-031; THR-032; THR-043; THR-055; THR-059,"Provider simulator, ambiguity, callback signature/replay/order, quote and recovery tests",provider-game-day; adapter-contract-report,Payments owner,Planned,
FND-001,PHASE-00_ENGINEERING_FOUNDATION,Create the repository structure in the roadmap document.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-042; THR-060,"Repository layout test, canonical PRD ownership check, Go toolchain verification, and clean process builds",s01-boundary-report-v3; repository-layout-test,Platform owner,Verified,"evidence/phase-00/architecture/S01-boundary-report-v3.md; verified source revision f72f5468c52a05a442fa0efbbe996fa16450a2bb"
FND-002,PHASE-00_ENGINEERING_FOUNDATION,Define module dependency rules and enforce them with tests or static checks.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-040; THR-054; THR-060,"Clean-tree import scan plus seeded cross-context persistence-import rejection",s01-boundary-report-v3; module-boundary-test,Platform owner,Verified,"evidence/phase-00/architecture/S01-boundary-report-v3.md; database write ownership remains FND-060/S05"
FND-003,PHASE-00_ENGINEERING_FOUNDATION,"Create separate Go entry points for API, worker, and provider simulator.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-025; THR-042; THR-060,"Go package tests and independent build of cmd/api, cmd/worker, and cmd/simulator; API operational-route lifecycle and timeout tests",s01-boundary-report-v3; s03-http-foundation-report; s03-post-commit-verification,Platform owner,Verified,"evidence/phase-00/architecture/S01-boundary-report-v3.md; evidence/phase-00/http/S03-post-commit-verification.md; only the API operational foundation is active"
FND-004,PHASE-00_ENGINEERING_FOUNDATION,Choose React or Vue once. Reference implementation uses React + TypeScript.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-029; THR-060,"Frozen Bun install/build/test plus static rejection of competing toolchain artifacts",s01-boundary-report-v3; s04-environment-report; toolchain-policy,Platform owner,Verified,"React 19.2.7 + TypeScript is the sole frontend framework; Bun 1.3.0 and bun.lock are pinned; no Node.js or pnpm project tooling"
FND-005,PHASE-00_ENGINEERING_FOUNDATION,"Create a typed money primitive, opaque identifier primitive, UTC clock abstraction, actor context, correlation context, and domain error vocabulary.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-001; THR-002; THR-009; THR-030; THR-031,"Go table/property/fuzz tests for amount bounds, currency mismatch, canonical JSON, opaque IDs, deterministic UTC time, bounded correlation fields, actor validation, and safe domain-error rendering; seeded currency-guard mutation","s02-primitives-report; platform-primitive-tests; fuzz-summary; mutation-result",Platform owner,Verified,"evidence/phase-00/primitives/S02-primitives-report.md; implementation dc638d2 and full post-commit revalidation at canonical-cleanup revision 240adbf; frontend fixture consumer deferred because S02 is Go-only"
