Threat ID,Category,Asset,Threat scenario,Abuse preconditions,Impact,Preventive controls,Detective controls,Verification,Owner,Status,Residual risk
THR-023,Machine identity,Merchant/API credentials,"Credential is guessed, leaked, over-scoped, not revoked, or accepted for wrong audience",Merchant or service compromise,"Unauthorized payments, refunds, data access",IAM-01; IAM-04; APP-01,Credential use anomalies and revocation audit,ADV-PAY-005..006; token audience tests,Identity owner,Open,Low
THR-024,Concurrency,Versioned resources,"Stale actor overwrites case, policy, approval, endpoint, or beneficiary state",Concurrent users or long-lived UI,Lost decision or unsafe state transition,IAM-05; APP-01; OPS-03,Precondition failures and conflict telemetry,ADV-WEB-011; ADV-IAM-006; ADV-REC-012,Platform owner,Open,Low
THR-025,Availability,Shared queues/pools,Noisy tenant or slow dependency monopolizes workers/connections,High retry/backlog or intentional abuse,Other tenants’ financial operations delayed,APP-03; REL-01,Per-tenant queue/latency/pool metrics,ADV-WHK-012; ADV-REL-007; PERF-EXP-06,Reliability owner,Open,Medium
THR-026,Privacy rights,"Retention, export, closure",Data-rights workflow exposes third-party/security data or deletion breaks financial evidence,Customer request or retention job,Privacy breach or corrupted audit/ledger,DAT-03; DAT-04; DAT-06,Request/download/deletion audit and manifests,ADV-PRV-002..006,Privacy owner,Open,Medium
THR-027,Object integrity,"Statements, evidence, provider files","Object is swapped, partial, publicly exposed, or marked ready before durable completion",Storage/config/job failure,"Incorrect evidence, disclosure, report inconsistency",DAT-02; REL-02; OPS-01,Digest/inventory/download-grant verification,ADV-REL-005; ADV-DR-002; ADV-PRV-003,Platform owner,Open,Low
THR-028,Insider privacy,Search and field reveal,Operator browses customers without purpose or correlates masked search results,Workforce access,Privacy harm and targeting,IAM-04; IAM-06; DAT-02; OPS-03,Reveal/search audit and anomaly review,ADV-IAM-011..013,Privacy owner,Open,Medium
THR-029,Frontend correctness,Money and lifecycle UI,"JavaScript precision, locale parsing, stale/ambiguous UI, or deceptive state causes wrong user action","Large amounts, concurrency, timeout","Wrong amount sent, duplicate intent, loss of trust",FIN-01; APP-07,Client error/ambiguous-state telemetry,ADV-WEB-004..011,Frontend owner,Open,Low
THR-030,Observability,"Logs, traces, metrics",Untrusted values create log injection/high cardinality or telemetry exposes sensitive data,Malicious input and broad instrumentation,"Monitoring outage, hidden attack, privacy breach",DAT-02; OPS-01; APP-03,Telemetry schema/cardinality/redaction checks,ADV-RES-003; ADV-PRV-001,Reliability owner,Open,Low
THR-031,Time,"Expiry, signatures, quotes, periods",Clock skew or boundary ambiguity changes security/financial result,"Node skew, timezone/date boundary","Replay acceptance, expired quote use, wrong statements/periods",FIN-07; APP-05; OPS-01,Clock/skew and boundary metrics/tests,ADV-TRF-014; ADV-REL-010; ADV-RPT-001,Platform owner,Open,Low
THR-032,FX/fees,Quotes and exchange accounting,"Rate/fee is altered, expired, rounded inconsistently, or bound to wrong destination",Client manipulation or precision bug,Financial loss and unreconciled books,FIN-01; FIN-02; FIN-07,Quote mismatch and rounding-account metrics,ADV-TRF-013..014; ledger FX properties,Ledger owner,Open,Low
THR-033,Business abuse,Limits and sensitive flows,"Attacker splits, races, or automates transactions to evade amount/count/velocity limits",Multiple devices/accounts/concurrent requests,Fraud and policy breach,FIN-05; APP-03,Velocity/rule/case metrics,Phase 05 concurrency/window tests,Risk owner,Open,Medium
THR-034,Settlement ingestion,Provider files,"Provider file identity/schema/rows are duplicated, poisoned, or intentionally mismatched",External data or operator upload,False reconciliation and adjustments,APP-04; FIN-07; FIN-08,File digest/schema/exception metrics,ADV-REC-001..010,Finance owner,Open,Low
THR-035,Webhook operations,Delivery history and replay,Replay or endpoint/key change is abused to send altered/unauthorized events,Merchant/workforce privilege,Merchant system confusion or data disclosure,IAM-03; IAM-04; APP-05; APP-06,Replay/key/endpoint audit,ADV-WHK-007..012,Payments owner,Open,Low
THR-036,Business logic,Transfers/payments/refunds,Caller invokes a legal endpoint sequence that violates product economics,Authenticated client with workflow knowledge,Financial loss without classic injection vulnerability,FIN-05; FIN-06; APP-03,Lifecycle/state conflict and anomaly metrics,Model-based state-machine tests,Payments owner,Open,Low
THR-037,Account takeover,Customer profile and beneficiary,"Attacker changes contact, beneficiary, session, then withdraws",Credential/session/recovery compromise,Customer funds stolen,IAM-02; IAM-03; FIN-05,Contact/beneficiary/session anomaly alerts,ADV-IAM-010; phase 02/05 tests,Identity owner,Open,Medium
THR-038,Role escalation,Invitations and memberships,User invites/grants a role outside delegated authority or retains stale access,Merchant admin weakness,Tenant compromise,IAM-04,Membership/role change audit,ADV-IAM-007..008,Identity owner,Open,Low
THR-039,Recovery abuse,Authentication recovery,Recovery flow reveals account or lets attacker replace trusted factors,"PII knowledge, rate bypass",Account takeover,IAM-02; IAM-03; APP-03,Recovery attempts and contact-change monitoring,ADV-IAM-010,Identity owner,Open,Medium
THR-040,Database bypass,Financial and audit tables,Application/operator writes tables directly outside domain command and audit,Compromised DB role or unsafe tool,Silent corruption and evidence loss,FIN-03; SDLC-01; IAM-06,DB audit/permission alerts and verification,ADV-LED-007..008,Data owner,Open,Medium
THR-041,Mass assignment,API resources,"Client sets owner, tenant, status, role, balance, or approval fields not intended for input",Crafted JSON,Privilege or financial state manipulation,APP-01; APP-02,Contract rejection and security test,API property authorization suite,Security owner,Open,Low
THR-042,API inventory,Endpoints and versions,"Undocumented, old, debug, health, or test endpoint remains exposed",Deployment drift,Control bypass or sensitive disclosure,APP-01; SDLC-03,Inventory scan and gateway logs,OpenAPI vs deployed endpoint test,Platform owner,Open,Low
THR-043,Third-party consumption,Provider/KYC/IdP responses,"Atlas trusts malformed, oversized, inconsistent, or compromised upstream data",External dependency,"State corruption, injection, resource abuse",APP-04; APP-03,Adapter validation/failure metrics,ADV-TRF-008; parser/contract suites,Platform owner,Open,Medium
THR-044,Cache integrity,Redis and frontend caches,Cache is treated as financial/auth truth or stale data authorizes action,Dependency failure/staleness,Overspend or unauthorized action,FIN-04; IAM-04; REL-01,Cache/degraded-mode tests,ADV-WAL-007; ADV-REL-004,Platform owner,Open,Low
THR-045,Data scope,Portfolio environments,Developer imports real data or connects to real payment/KYC service,Convenience or misconfiguration,Privacy/regulatory/financial exposure,DAT-01; GOV-04,Environment/data scans and banners,Release repository/data review,Privacy owner,Open,Low
THR-046,Public demo,Hosted synthetic environment,"Attacker abuses compute, sends harmful content, or mistakes demo for real service",Internet exposure,"Cost, reputation, security incident",APP-03; GOV-04; REL-01,Demo quotas/content and abuse monitoring,Release abuse test,Platform owner,Open,Medium
THR-047,Assurance claims,Documentation and content,"Project claims enterprise compliance, uptime, or scale without evidence",Marketing pressure,Reviewer distrust and legal/reputational risk,GOV-04,Claims ledger review,Phase 13 evidence audit,Product owner,Open,Low
THR-048,Job liveness,Async commands and reports,Job is stuck/retried forever/marked complete early with no operator path,Worker crash/classification bug,"Stranded funds, delayed support, hidden failure",REL-01; OPS-02; OPS-03,Age/watchdog/dead-letter metrics,ADV-REL-005; ADV-RES-008,Reliability owner,Open,Low
THR-049,Storage exhaustion,Database/outbox/idempotency/audit,Retention or attack causes uncontrolled growth and outage,High volume/abuse,Availability loss and failed financial finalization,APP-03; REL-01; DAT-04,Capacity/retention/oldest-age alerts,ADV-RES-004 and soak tests,Reliability owner,Open,Medium
THR-050,Download authorization,Statements and exports,Long-lived/copyable URL or stale authorization exposes sensitive report,Link sharing/session revocation,Data breach,DAT-02; DAT-04; APP-07,Grant/download audit and expiry metrics,ADV-PRV-003; ADV-IAM-012,Privacy owner,Open,Low
THR-051,Period controls,Accounting close,"Backdated journal races or bypasses close, changing signed period evidence",Concurrent posting or privilege misuse,Financial report integrity loss,FIN-03; FIN-08; IAM-05,Closed-period adjustment alerts,ADV-LED-013; ADV-LED-018,Finance owner,Open,Low
THR-052,Suspense abuse,Suspense account,Mismatch is parked indefinitely or used to hide unexplained loss,Operations pressure or fraud,Misstated financial position,FIN-07; FIN-08; OPS-02,Suspense balance/age/owner dashboard,ADV-REC-015,Finance owner,Open,Medium
THR-053,Unauthorized correction,"Reversal, refund, adjustment",Actor changes financial history through unauthorized or excessive correction,Compromised merchant/workforce account,Theft and concealed fraud,IAM-03; IAM-04; IAM-05; FIN-03,Correction volume/approval audit,ADV-LED-014..015; ADV-PAY-003..004,Finance owner,Open,Low
THR-054,Outbox atomicity,Database and event publication,State commits without outbox or event publishes without durable state,Incorrect transaction boundary,Downstream inconsistency,FIN-04; REL-01,Outbox/state reconciliation,ADV-REL-001..002,Platform owner,Open,Low
THR-055,Callback mismatch,Provider events,Signed callback is matched to wrong tenant/amount/currency/object,Correlation/reference bug or provider compromise,Wrong transfer/payment completion,APP-04; APP-05; FIN-06,Mismatch/duplicate provider alerts,ADV-TRF-007..008,Payments owner,Open,Low
THR-056,Cryptographic downgrade,Signatures/tokens,Attacker selects weak/none/old algorithm or wrong key type,Parser/config weakness,Forged auth/callback/webhook,APP-05; IAM-02; DAT-02,Unsupported algorithm/key alert,ADV-IAM-015; signature fuzz/downgrade tests,Security owner,Open,Low
THR-057,Search inference,Operations/customer APIs,"Masked/denied fields leak through search ordering, counts, autocomplete, timing",Low-privilege or workforce actor,Identity/privacy inference,IAM-04; DAT-02,Query audit and differential tests,ADV-IAM-002; ADV-IAM-011,Privacy owner,Open,Medium
THR-058,Audit dependency,High-risk action,Audit sink outage causes unaudited action or global outage without policy,Dependency failure,Undetected abuse or availability loss,OPS-01; OPS-02; REL-01,Audit pipeline health and fail-policy metrics,ADV-AUD-002,Security owner,Open,Low
THR-059,State regression,Lifecycle resources,Late/out-of-order event moves terminal transfer/payment/refund backward,Provider/broker reordering,Duplicate release/posting or misleading UI,FIN-06; REL-01,Illegal transition metrics and case creation,ADV-TRF-004..006,Payments owner,Open,Low
THR-060,Evidence drift,Contracts/docs/tests,README/diagrams/contracts no longer match deployed code and claims,Rapid changes or generated docs,False assurance and reviewer confusion,GOV-02; GOV-04; SDLC-01,CI drift checks and release manifest,Contract/deployment conformance,Product owner,Open,Low
